rt_score,Genre_1,Genre_2,Genre_3,imdb_rating,length,rating,studio,title,year
7.1,Thriller,Crime,Action,7.6,110,R,Warner Bros.,Lethal Weapon,1987
7.8,Romance,Drama,Comedy,7.1,102,PG,Metro-Goldwyn-Mayer,Moonstruck,1987
6.5,Thriller,Comedy,,6.6,117,R,Touchstone,Stakeout,1987
5.4,Comedy,,,6.4,111,PG-13,Universal Pictures,The Secret of My Success,1987
7.4,Thriller,Drama,Crime,8,119,R,Paramount,The Untouchables,1987
6.2,Horror,Fantasy,Comedy,6.5,118,R,Warner Bros.,The Witches of Eastwick,1987
5.9,Family,Drama,Comedy,5.8,102,PG,Touchstone Pictures,Three Men and a Baby,1987
6.7,Adventure,Comedy,Crime,6.5,97,PG-13,Paramount Pictures / 20th Century Fox,"""Crocodile"" Dundee",1986
9,Sci-Fi,Adventure,Action,8.4,137,R,20th Century Fox,Aliens,1986
6.3,Drama,Comedy,Animation,6.9,80,G,Universal Studios,An American Tail,1986
